user_name,review_text,rating,label,cleaned_review_text,tokenized_review,review_length,all_caps_ratio,sentiment,relevancy_score,emotions
Meredith Sandberg,"I ordered a number of baby and maternity items. I was happy with most of my order, however the maternity sweatshirts I bought were ill-fitting.
Rohanie provided me with excellent customer service and made my return and refund so easy. Order without worry!",5,Valid,"i ordered a number of baby and maternity items i was happy with most of my order however the maternity sweatshirts i bought were illfitting
rohanie provided me with excellent customer service and made my return and refund so easy order without worry","['ordered', 'number', 'baby', 'maternity', 'items', 'happy', 'order', 'maternity', 'sweatshirts', 'bought', 'illfitting', '\n', 'rohanie', 'provided', 'excellent', 'customer', 'service', 'return', 'refund', 'easy', 'order', 'worry']",22,0.06976744186046512,POSITIVE,59,none
g miller,Prices too high!,3,Rant,prices too high,"['prices', 'high']",2,0.0,NEGATIVE,41,none
Esvan Quiroz,Perfect activity for a perfect day.  The crowds are mild today and it's absolutely stunning.,5,Valid,perfect activity for a perfect day  the crowds are mild today and its absolutely stunning,"['perfect', 'activity', 'perfect', 'day', ' ', 'crowds', 'mild', 'today', 'absolutely', 'stunning']",10,0.0,POSITIVE,47,admiration
rena izyaguyev,"Clean & modern house ,
fresh flowers everywhere ,
best hostess ,highly recommended.",5,Valid,"clean  modern house 
fresh flowers everywhere 
best hostess highly recommended","['clean', ' ', 'modern', 'house', '\n', 'fresh', 'flowers', '\n', 'best', 'hostess', 'highly', 'recommended']",12,0.0,POSITIVE,46,none
Ron Figueroa,Excellent option and easier access to Tijuana's airport.,5,Valid,excellent option and easier access to tijuanas airport,"['excellent', 'option', 'easier', 'access', 'tijuanas', 'airport']",6,0.0,POSITIVE,43,none
Scott Bisighini,Nations history is beautiful,5,Valid,nations history is beautiful,"['nations', 'history', 'beautiful']",3,0.0,POSITIVE,41,admiration
Siobhan Reinecke,I had an issue with sizing when I recieved my item but Claire D helped me straight away. Very efficient when resolving my issue and friendly. Thank you for the good service.,5,Valid,i had an issue with sizing when i recieved my item but claire d helped me straight away very efficient when resolving my issue and friendly thank you for the good service,"['issue', 'sizing', 'recieved', 'item', 'claire', 'd', 'helped', 'straight', 'away', 'efficient', 'resolving', 'issue', 'friendly', 'thank', 'good', 'service']",16,0.09375,POSITIVE,54,gratitude
Michelle Cordano,"They quickly scheduled my order over the phone and made the process easy. The guy answering the phone was very helpful. Amazing selection of flowers, carts and edibles. Best weed in DC so I’ll be a returning customer.",5,Valid,they quickly scheduled my order over the phone and made the process easy the guy answering the phone was very helpful amazing selection of flowers carts and edibles best weed in dc so ill be a returning customer,"['quickly', 'scheduled', 'order', 'phone', 'process', 'easy', 'guy', 'answering', 'phone', 'helpful', 'amazing', 'selection', 'flowers', 'carts', 'edibles', 'best', 'weed', 'dc', 'ill', 'returning', 'customer']",21,0.02631578947368421,POSITIVE,58,admiration
DIANA SOSA,"(Translated by Google) The magical city of Washington D.C will surprise you with its magnificent monuments, including Constitution Gardens.

(Original)
La mágica ciudad de Washington D.C te sorprenderá con sus magníficos monumentos, entre ellos el Constitution Gardens.",5,Valid,"translated by google the magical city of washington dc will surprise you with its magnificent monuments including constitution gardens

original
la mágica ciudad de washington dc te sorprenderá con sus magníficos monumentos entre ellos el constitution gardens","['translated', 'google', 'magical', 'city', 'washington', 'dc', 'surprise', 'magnificent', 'monuments', 'including', 'constitution', 'gardens', '\n\n', 'original', '\n', 'la', 'mágica', 'ciudad', 'de', 'washington', 'dc', 'te', 'sorprenderá', 'con', 'sus', 'magníficos', 'monumentos', 'entre', 'ellos', 'el', 'constitution', 'gardens']",32,0.05405405405405406,POSITIVE,57,neutral
D Quebecoise,"Just great service, very good prices and would recommend highly.",5,Valid,just great service very good prices and would recommend highly,"['great', 'service', 'good', 'prices', 'recommend', 'highly']",6,0.0,POSITIVE,44,admiration
Sam Randazzo,The Eze Breeze windows were very easy to install on our back porch and they allowed us to use the porch an extra season. No more rain or snow on the porch. No more moving porch furniture during bad weather. Best investment made.,5,Valid,the eze breeze windows were very easy to install on our back porch and they allowed us to use the porch an extra season no more rain or snow on the porch no more moving porch furniture during bad weather best investment made,"['eze', 'breeze', 'windows', 'easy', 'install', 'porch', 'allowed', 'use', 'porch', 'extra', 'season', 'rain', 'snow', 'porch', 'moving', 'porch', 'furniture', 'bad', 'weather', 'best', 'investment']",21,0.0,NEGATIVE,61,none
Ariel Taylor,"Nasty, dirty, smelly airport and the list goes on worst airport in America it’s so dirty and smells like someone vomited and they rubbed it into the carpet next time I fly I’m going to avoid flying to this airport. Aswell staff just sit on their phones and do nothing probably why it’s so dirty couldn’t find one seat with out food and rubbish on it, disgusting. Staff are rude and do nothing. Not a good airport at all!",1,Rant,nasty dirty smelly airport and the list goes on worst airport in america its so dirty and smells like someone vomited and they rubbed it into the carpet next time i fly im going to avoid flying to this airport aswell staff just sit on their phones and do nothing probably why its so dirty couldnt find one seat with out food and rubbish on it disgusting staff are rude and do nothing not a good airport at all,"['nasty', 'dirty', 'smelly', 'airport', 'list', 'goes', 'worst', 'airport', 'america', 'dirty', 'smells', 'like', 'vomited', 'rubbed', 'carpet', 'time', 'fly', 'm', 'going', 'avoid', 'flying', 'airport', 'aswell', 'staff', 'sit', 'phones', 'probably', 'dirty', 'nt', 'find', 'seat', 'food', 'rubbish', 'disgusting', 'staff', 'rude', 'good', 'airport']",38,0.012658227848101266,NEGATIVE,79,none
Connor Foley,"The place is extraordinary and roomy, the meals was yummy and the prices were very fair. rapidly, effective service and very affable staff. I highly recommend this place.",5,Valid,the place is extraordinary and roomy the meals was yummy and the prices were very fair rapidly effective service and very affable staff i highly recommend this place,"['place', 'extraordinary', 'roomy', 'meals', 'yummy', 'prices', 'fair', 'rapidly', 'effective', 'service', 'affable', 'staff', 'highly', 'recommend', 'place']",15,0.03571428571428571,POSITIVE,53,admiration
Karen Bowe,"I just had an amazing day listening to Brad Knowles speak on the topic of ""Going from ME TO WE"". There isn't one speaker out there that compares to Brad. I left with so many aha moments. To top it all off his humor had me laughing all day. Everyone can relate to the daily situations & struggles we are all faced with. Brad explains things so clear and concise that you leave with a feeling of certainty and direction in your business and life. I highly suggest him as a speaker and as a coach.",5,Ad,i just had an amazing day listening to brad knowles speak on the topic of going from me to we there isnt one speaker out there that compares to brad i left with so many aha moments to top it all off his humor had me laughing all day everyone can relate to the daily situations  struggles we are all faced with brad explains things so clear and concise that you leave with a feeling of certainty and direction in your business and life i highly suggest him as a speaker and as a coach,"['amazing', 'day', 'listening', 'brad', 'knowles', 'speak', 'topic', 'going', 'nt', 'speaker', 'compares', 'brad', 'left', 'aha', 'moments', 'humor', 'laughing', 'day', 'relate', 'daily', 'situations', ' ', 'struggles', 'faced', 'brad', 'explains', 'things', 'clear', 'concise', 'leave', 'feeling', 'certainty', 'direction', 'business', 'life', 'highly', 'suggest', 'speaker', 'coach']",39,0.0625,POSITIVE,86,admiration
Charles Corson,Nice little promenade. Great for kids.,5,Valid,nice little promenade great for kids,"['nice', 'little', 'promenade', 'great', 'kids']",5,0.0,POSITIVE,42,admiration
Ryan Ishaug,"HoneyBee Herbs is a 5 star company for sure! Their quartz is amazing, tons of different bangers and nails. Also have seamless joint, the bucket and the stem are seamlessly created.  They’re a bit more expensive but well worth it for the quality.  Their milk and honey line is sexy and a comes in many different setups. Stock is good, some stuff sells out really fast but with the Post Office having issues I don’t think it has anything to do with HoneyBee.  I went with the thick original since I’m a bit clumsy, 4mm side walls and bottom, should be great for holding heat as well as any small accidents.  For the money there isn’t a better company out there. The quality is better than most others, all quartz, no corner cutting.  There’s a 25% off coupon for singing up, and on my first order both packages had coupons codes for 30% off my next order.  Check them out, they have a great website.",5,Ad,honeybee herbs is a  star company for sure their quartz is amazing tons of different bangers and nails also have seamless joint the bucket and the stem are seamlessly created  theyre a bit more expensive but well worth it for the quality  their milk and honey line is sexy and a comes in many different setups stock is good some stuff sells out really fast but with the post office having issues i dont think it has anything to do with honeybee  i went with the thick original since im a bit clumsy mm side walls and bottom should be great for holding heat as well as any small accidents  for the money there isnt a better company out there the quality is better than most others all quartz no corner cutting  theres a  off coupon for singing up and on my first order both packages had coupons codes for  off my next order  check them out they have a great website,"['honeybee', 'herbs', ' ', 'star', 'company', 'sure', 'quartz', 'amazing', 'tons', 'different', 'bangers', 'nails', 'seamless', 'joint', 'bucket', 'stem', 'seamlessly', 'created', ' ', 'bit', 'expensive', 'worth', 'quality', ' ', 'milk', 'honey', 'line', 'sexy', 'comes', 'different', 'setups', 'stock', 'good', 'stuff', 'sells', 'fast', 'post', 'office', 'having', 'issues', 'nt', 'think', 'honeybee', ' ', 'went', 'thick', 'original', 'm', 'bit', 'clumsy', 'mm', 'walls', 'great', 'holding', 'heat', 'small', 'accidents', ' ', 'money', 'nt', 'better', 'company', 'quality', 'better', 'quartz', 'corner', 'cutting', ' ', 's', ' ', 'coupon', 'singing', 'order', 'packages', 'coupons', 'codes', ' ', 'order', ' ', 'check', 'great', 'website']",82,0.012121212121212121,POSITIVE,100,none
Simon Alebachew,"If you are in DC, you have to see the Lincoln Memorial. It's a wonderful memorial for a wonderful president and the night sight is just extraordinary.",5,Valid,if you are in dc you have to see the lincoln memorial its a wonderful memorial for a wonderful president and the night sight is just extraordinary,"['dc', 'lincoln', 'memorial', 'wonderful', 'memorial', 'wonderful', 'president', 'night', 'sight', 'extraordinary']",10,0.037037037037037035,POSITIVE,52,admiration
