user_name,review_text,rating,label,cleaned_review_text,tokenized_review,review_length,all_caps_ratio,sentiment,relevancy_score,emotions
Craig H,I’ve had my Sanctuary 2 sauna and red light for about a month and love it! Julie is very knowledgeable and was a great help in picking the right sauna. Thanks Julie!,5,Valid,ive had my sanctuary  sauna and red light for about a month and love it julie is very knowledgeable and was a great help in picking the right sauna thanks julie,"['ve', 'sanctuary', ' ', 'sauna', 'red', 'light', 'month', 'love', 'julie', 'knowledgeable', 'great', 'help', 'picking', 'right', 'sauna', 'thanks', 'julie']",17,0.0,POSITIVE,55,
Dr Harold Patino,What can I say! Julie was fantastic and the product ( Sactuary 3) is fantastic as well. I came across Julie by chance on the internet and her 24/7 availability by text just blew me away. She knows she represents  a top notch aesthetic and performance product that becomes part of your daily routine.  Thank you Julie and Clearlight for making this life experience healthier and fun!,5,Valid,what can i say julie was fantastic and the product  sactuary  is fantastic as well i came across julie by chance on the internet and her  availability by text just blew me away she knows she represents  a top notch aesthetic and performance product that becomes part of your daily routine  thank you julie and clearlight for making this life experience healthier and fun,"['julie', 'fantastic', 'product', ' ', 'sactuary', ' ', 'fantastic', 'came', 'julie', 'chance', 'internet', ' ', 'availability', 'text', 'blew', 'away', 'knows', 'represents', ' ', 'notch', 'aesthetic', 'performance', 'product', 'daily', 'routine', ' ', 'thank', 'julie', 'clearlight', 'making', 'life', 'experience', 'healthier', 'fun']",34,0.029850746268656716,POSITIVE,72,
Lauren Kilbourne,"Thank you so much Julie for your support in purchasing this Clearlight Sauna -1! It's compact and fits perfectly in my bedroom. The quality is unparalleled! It heats up in about 20 minutes. The color changes for treating different body systems is great.

Not only is the sauna top notch, but Julie's service is top notch. I message her early morning or late evening and she always responds quickly to my detox questions. Julie is truly an expert and I trust her knowledge and advice. Being in the service industry myself, I value that kind of support, which is the same type of support that I provide to my clients. Thank you Julie! You are a lifesaver.",5,Valid,"thank you so much julie for your support in purchasing this clearlight sauna  its compact and fits perfectly in my bedroom the quality is unparalleled it heats up in about  minutes the color changes for treating different body systems is great

not only is the sauna top notch but julies service is top notch i message her early morning or late evening and she always responds quickly to my detox questions julie is truly an expert and i trust her knowledge and advice being in the service industry myself i value that kind of support which is the same type of support that i provide to my clients thank you julie you are a lifesaver","['thank', 'julie', 'support', 'purchasing', 'clearlight', 'sauna', ' ', 'compact', 'fits', 'perfectly', 'bedroom', 'quality', 'unparalleled', 'heats', ' ', 'minutes', 'color', 'changes', 'treating', 'different', 'body', 'systems', 'great', '\n\n', 'sauna', 'notch', 'julies', 'service', 'notch', 'message', 'early', 'morning', 'late', 'evening', 'responds', 'quickly', 'detox', 'questions', 'julie', 'truly', 'expert', 'trust', 'knowledge', 'advice', 'service', 'industry', 'value', 'kind', 'support', 'type', 'support', 'provide', 'clients', 'thank', 'julie', 'lifesaver']",56,0.03418803418803419,POSITIVE,97,
Natural Baby Mama,"Julie has been amazing throughout the entire buying process.  She is a wealth of information and truly cares about helping others heal and get healthy.  She answered all my many questions, and followed up along the process to see how things were going.  We love our Clearlight sauna and couldn't be happier!",5,Valid,julie has been amazing throughout the entire buying process  she is a wealth of information and truly cares about helping others heal and get healthy  she answered all my many questions and followed up along the process to see how things were going  we love our clearlight sauna and couldnt be happier,"['julie', 'amazing', 'entire', 'buying', 'process', ' ', 'wealth', 'information', 'truly', 'cares', 'helping', 'heal', 'healthy', ' ', 'answered', 'questions', 'followed', 'process', 'things', 'going', ' ', 'love', 'clearlight', 'sauna', 'nt', 'happier']",26,0.0,POSITIVE,65,
Holly McGreevy,"Working with Julie was an absolute pleasure! Julie was was honest, informative and very helpful! I was so completely overwhelmed looking at all the different sauna’s and companies until I found Julie.  I am so incredibly pleased with my Clearlight Sanctuary I.   It bring me so much zen!  I would recommend Clearlight and Julie to anyone interested in infrared saunas.  Thanks Julie!",5,Valid,working with julie was an absolute pleasure julie was was honest informative and very helpful i was so completely overwhelmed looking at all the different saunas and companies until i found julie  i am so incredibly pleased with my clearlight sanctuary i   it bring me so much zen  i would recommend clearlight and julie to anyone interested in infrared saunas  thanks julie,"['working', 'julie', 'absolute', 'pleasure', 'julie', 'honest', 'informative', 'helpful', 'completely', 'overwhelmed', 'looking', 'different', 'saunas', 'companies', 'found', 'julie', ' ', 'incredibly', 'pleased', 'clearlight', 'sanctuary', '  ', 'bring', 'zen', ' ', 'recommend', 'clearlight', 'julie', 'interested', 'infrared', 'saunas', ' ', 'thanks', 'julie']",34,0.08064516129032258,POSITIVE,69,
Dana Pieschl,"Julie has the best customer service around!  She is knowledgeable and cares.  She sent information regarding use and setup, followed up on its arrival and made sure it was working properly.  I know if I have problems or questions that Julie would make sure it was taken care of.  I wouldn't hesitate to recommend buying a sauna from Julie!!",5,Valid,julie has the best customer service around  she is knowledgeable and cares  she sent information regarding use and setup followed up on its arrival and made sure it was working properly  i know if i have problems or questions that julie would make sure it was taken care of  i wouldnt hesitate to recommend buying a sauna from julie,"['julie', 'best', 'customer', 'service', ' ', 'knowledgeable', 'cares', ' ', 'sent', 'information', 'use', 'setup', 'followed', 'arrival', 'sure', 'working', 'properly', ' ', 'know', 'problems', 'questions', 'julie', 'sure', 'taken', 'care', ' ', 'nt', 'hesitate', 'recommend', 'buying', 'sauna', 'julie']",32,0.05084745762711865,POSITIVE,68,
E Peters,"I just received my Clearlight Sanctuary 3 sauna. Was able to put it together with the help of my husband, directions are simple and clear.  It really is stunning to look at, the ambient lights give off a beautiful glow.  The chromotherapy and blue-tooth speakers are a fun touch too. You can create a mood with lights and sound. It heats up pretty quickly and keeps the temperature at the chosen level. The controls are easy to use and straight forward. You can make adjustments in the temperature/time/full spectrum light range. The bench is comfortable and can be flipped to completely flat or ergonomic style. When considering this purchase, I had A TON of questions for Julie and she was fantastic and prompt with responses if she didn't know right away.  She has also been available to answer my questions after I received the sauna about a myriad of things. I really appreciate her help.",5,Valid,i just received my clearlight sanctuary  sauna was able to put it together with the help of my husband directions are simple and clear  it really is stunning to look at the ambient lights give off a beautiful glow  the chromotherapy and bluetooth speakers are a fun touch too you can create a mood with lights and sound it heats up pretty quickly and keeps the temperature at the chosen level the controls are easy to use and straight forward you can make adjustments in the temperaturetimefull spectrum light range the bench is comfortable and can be flipped to completely flat or ergonomic style when considering this purchase i had a ton of questions for julie and she was fantastic and prompt with responses if she didnt know right away  she has also been available to answer my questions after i received the sauna about a myriad of things i really appreciate her help,"['received', 'clearlight', 'sanctuary', ' ', 'sauna', 'able', 'help', 'husband', 'directions', 'simple', 'clear', ' ', 'stunning', 'look', 'ambient', 'lights', 'beautiful', 'glow', ' ', 'chromotherapy', 'bluetooth', 'speakers', 'fun', 'touch', 'create', 'mood', 'lights', 'sound', 'heats', 'pretty', 'quickly', 'keeps', 'temperature', 'chosen', 'level', 'controls', 'easy', 'use', 'straight', 'forward', 'adjustments', 'temperaturetimefull', 'spectrum', 'light', 'range', 'bench', 'comfortable', 'flipped', 'completely', 'flat', 'ergonomic', 'style', 'considering', 'purchase', 'ton', 'questions', 'julie', 'fantastic', 'prompt', 'responses', 'nt', 'know', 'right', 'away', ' ', 'available', 'answer', 'questions', 'received', 'sauna', 'myriad', 'things', 'appreciate', 'help']",74,0.03870967741935484,POSITIVE,100,
Susan Kefer,"Thank you, Julie Bishop 💕🙏😘 this sauna is AMAZING! I can’t believe it became a reality... from the first call I had with you not knowing how I would be able to make this happen, to making the deposit, still not knowing how I was going to make it happen, to asking a zillion questions (no joke)... and still not knowing how I was going to make it happen, to finalizing payment and awaiting delivery (not believeing that I made it happen), to sitting in my sauna, my sanctuary... and realizing that healing is happening. Thank you, friend, through it all, for being you and being so intentional and wholeheartedly committed to health, wellness, education, inspiration, integrity and advocacy. You are so appreciated and valued. And my life is so much better having met you. I can it wait to continue this journey alongside you. Thank you a million times over.",5,Valid,thank you julie bishop  this sauna is amazing i cant believe it became a reality from the first call i had with you not knowing how i would be able to make this happen to making the deposit still not knowing how i was going to make it happen to asking a zillion questions no joke and still not knowing how i was going to make it happen to finalizing payment and awaiting delivery not believeing that i made it happen to sitting in my sauna my sanctuary and realizing that healing is happening thank you friend through it all for being you and being so intentional and wholeheartedly committed to health wellness education inspiration integrity and advocacy you are so appreciated and valued and my life is so much better having met you i can it wait to continue this journey alongside you thank you a million times over,"['thank', 'julie', 'bishop', ' ', 'sauna', 'amazing', 'nt', 'believe', 'reality', 'knowing', 'able', 'happen', 'making', 'deposit', 'knowing', 'going', 'happen', 'asking', 'zillion', 'questions', 'joke', 'knowing', 'going', 'happen', 'finalizing', 'payment', 'awaiting', 'delivery', 'believeing', 'happen', 'sitting', 'sauna', 'sanctuary', 'realizing', 'healing', 'happening', 'thank', 'friend', 'intentional', 'wholeheartedly', 'committed', 'health', 'wellness', 'education', 'inspiration', 'integrity', 'advocacy', 'appreciated', 'valued', 'life', 'better', 'having', 'met', 'wait', 'continue', 'journey', 'alongside', 'thank', 'million', 'times']",60,0.052980132450331126,POSITIVE,100,
Brent Cripe,Julie was excellent every step through the purchase of my clearlight sanctuary 3 sauna.  Quick to answer every question.  Love my sauna - exactly what I was expecting.  Look forward to enjoying for many years.,5,Valid,julie was excellent every step through the purchase of my clearlight sanctuary  sauna  quick to answer every question  love my sauna  exactly what i was expecting  look forward to enjoying for many years,"['julie', 'excellent', 'step', 'purchase', 'clearlight', 'sanctuary', ' ', 'sauna', ' ', 'quick', 'answer', 'question', ' ', 'love', 'sauna', ' ', 'exactly', 'expecting', ' ', 'look', 'forward', 'enjoying', 'years']",23,0.02857142857142857,POSITIVE,56,
Kerry Prettyman,I purchased a sauna from Julie a few months ago. My experience was fantastic. Julie answered all of questions promptly. She is extremely knowledgeable about detoxing and how the sauna can help in your journey to better health. I use my sauna daily and have been very pleased with it.,5,Valid,i purchased a sauna from julie a few months ago my experience was fantastic julie answered all of questions promptly she is extremely knowledgeable about detoxing and how the sauna can help in your journey to better health i use my sauna daily and have been very pleased with it,"['purchased', 'sauna', 'julie', 'months', 'ago', 'experience', 'fantastic', 'julie', 'answered', 'questions', 'promptly', 'extremely', 'knowledgeable', 'detoxing', 'sauna', 'help', 'journey', 'better', 'health', 'use', 'sauna', 'daily', 'pleased']",23,0.04,POSITIVE,64,
